side_effect,n_instance,auprc,auroc,ap
0.0,1130.0,0.6266779755111008,0.661990758869136,0.6284294302390191
1.0,2144.0,0.6063454062380071,0.642488278639452,0.6073550333446683
2.0,1028.0,0.6211193867708729,0.6723975760420294,0.6233283125343443
3.0,1360.0,0.6138258902700409,0.6507958477508651,0.6153503785664141
4.0,716.0,0.6112413043244223,0.6560071470927874,0.613804289992991
5.0,746.0,0.6004838718609122,0.6492284139180186,0.6027700325695076
6.0,246.0,0.5944632058098585,0.6242646572807191,0.6011791413234957
7.0,372.0,0.6169644516168972,0.6450456700196554,0.6221942240326613
8.0,914.0,0.6166522630151269,0.6699002628693459,0.6187749605579107
9.0,868.0,0.6421249591140331,0.6798243751194547,0.6444185791691946
10.0,626.0,0.610250200822269,0.6494962692280212,0.6122401068825876
11.0,1130.0,0.608846928388854,0.6536009084501527,0.6109475302757228
12.0,1190.0,0.5772602904417748,0.6186462820422287,0.5788434428241717
13.0,1226.0,0.6074104355808825,0.6509551080584082,0.6091955380688652
14.0,810.0,0.6500981548441301,0.6740070111263526,0.6511253792100391
15.0,1186.0,0.6203924744249305,0.6560007279986578,0.62165000177323
16.0,108.0,0.6013583632983102,0.6635802469135803,0.616937727566507
17.0,1662.0,0.6243340078954122,0.6706167159744034,0.6257251708048894
18.0,398.0,0.653192865540593,0.6972551198202066,0.6599571963591251
19.0,1280.0,0.6141119011173031,0.65630859375,0.6158727886694417
20.0,1180.0,0.644934963536601,0.6808539212869865,0.6467739831967033
21.0,1170.0,0.6350788651261214,0.6735568704799474,0.6362558908324589
22.0,838.0,0.6321623272836849,0.6840941325237382,0.6343641173066501
23.0,1054.0,0.6167921368448904,0.6709238142217774,0.618745360904364
24.0,2444.0,0.6178491831457253,0.6513315618462395,0.6188514432250135
25.0,510.0,0.6015300282168051,0.6407151095732411,0.6049293141811702
26.0,852.0,0.6374456309311536,0.6630491084220503,0.6385684178592541
27.0,1356.0,0.6135880895970197,0.6557836470270881,0.6146002523255852
28.0,532.0,0.6329377550592996,0.684500254395387,0.6364196522003838
29.0,620.0,0.6140662934109646,0.6543418314255983,0.6163700498247056
30.0,1002.0,0.6045710254466751,0.6396956585830335,0.6060889594263534
31.0,152.0,0.6941799029143104,0.7249826869806095,0.7043022857578838
32.0,508.0,0.6617776168347732,0.6951531403062806,0.6637874625208346
33.0,506.0,0.6439452444904387,0.6665156462372479,0.6458591519890419
34.0,210.0,0.6180207395752828,0.6685260770975058,0.6270567868518174
35.0,172.0,0.6202221891934004,0.6829367225527312,0.6302735811921687
36.0,1016.0,0.6181886875333499,0.6610869784239568,0.6203932612021341
37.0,1406.0,0.608567288262098,0.6452249959025431,0.6096947048602074
38.0,836.0,0.6280222073147079,0.6681537739520617,0.6300869767963994
39.0,156.0,0.6330557155044345,0.6861439842209073,0.6425871840529478
40.0,336.0,0.6060743372364709,0.6504924886621315,0.6110068230180978
41.0,798.0,0.6088940863933475,0.6314423276235701,0.6111949562139958
42.0,680.0,0.626256067334457,0.6363278546712804,0.627593329443199
43.0,882.0,0.589780560213617,0.6277001352317193,0.591962184361037
44.0,2834.0,0.6148466591247235,0.6404685468170802,0.6156474964242349
45.0,786.0,0.6007775503151831,0.6442725430400974,0.6037669228629046
46.0,1156.0,0.6277953859012997,0.658486338765101,0.6296706240819743
47.0,700.0,0.6758230757016168,0.7007224489795918,0.6772898196824453
48.0,954.0,0.640124844502165,0.6525135257483662,0.6410355220900247
49.0,194.0,0.7019874460365726,0.7311350834307577,0.7136146839155539
50.0,1420.0,0.6277113448168887,0.6491891489783773,0.6285513386447165
51.0,2220.0,0.6092409296531607,0.634739672104537,0.6102416396663137
52.0,1858.0,0.6188834568952826,0.663064385121912,0.6201702656002772
53.0,690.0,0.6175901942609807,0.6577609745851711,0.6198566892804882
54.0,1130.0,0.6373446727267311,0.6623337771164539,0.6383649266574641
55.0,288.0,0.6445794452295354,0.6998697916666666,0.6503009843989618
56.0,1024.0,0.6001443752894821,0.6416969299316406,0.6021709678576445
57.0,558.0,0.5958979600268464,0.6411499081460927,0.5993262083935443
58.0,1428.0,0.6212547846589658,0.6551522569812238,0.6229082277233753
59.0,660.0,0.6389349985017916,0.6886891643709825,0.6420232984197654
60.0,2040.0,0.630366575742453,0.6653899942329874,0.6311167712902452
61.0,754.0,0.5976716016145098,0.6329056702010146,0.6000867120268762
62.0,1922.0,0.5969326772145542,0.6307853313568397,0.597786056897958
63.0,734.0,0.6558673894177478,0.6820100379392527,0.6585142254808715
64.0,812.0,0.6201405995714951,0.6758657089470747,0.6236658485303683
65.0,1120.0,0.6229642381879976,0.6514867665816326,0.6241289726841803
66.0,2386.0,0.6178260614849833,0.6480116971801843,0.6188354142851233
67.0,1194.0,0.6134426113105431,0.6522464359766448,0.6151811666576137
68.0,996.0,0.6562242584235093,0.6864496137159077,0.6573603258490255
69.0,736.0,0.6111394933505078,0.6553915849480151,0.613961026577075
70.0,1836.0,0.6362795920489833,0.6695863651681926,0.6369494540916718
71.0,1586.0,0.6250320329811302,0.6666648114253183,0.6264217722698747
72.0,1364.0,0.613682636595588,0.6480470799184734,0.6152564588914193
73.0,1224.0,0.6048380491092427,0.6571017023367082,0.6065270828046594
74.0,1642.0,0.6088773838445871,0.6357955228242793,0.6107803074039118
75.0,1994.0,0.6214491325346084,0.6533650600749088,0.6222312078310788
76.0,476.0,0.6242891733110348,0.6590283172092367,0.6283470037989443
77.0,1322.0,0.5898220302608018,0.6376862178746272,0.5915685490929249
78.0,796.0,0.6144271044762839,0.646342579732835,0.616122511735852
79.0,576.0,0.6494886542810567,0.69555362654321,0.652837562981256
80.0,1582.0,0.6146378154795529,0.6481925294199441,0.6156645760694166
81.0,214.0,0.5867898120299844,0.6066905406585729,0.5914764542599972
82.0,384.0,0.6256173971806446,0.6639879014756944,0.6303417554681532
83.0,426.0,0.6125318344433366,0.6522956203575128,0.6163088647358338
84.0,194.0,0.6390947136868591,0.692767562971623,0.6469156971196781
85.0,574.0,0.5981503524073852,0.6248345858271922,0.6004918975809452
86.0,1236.0,0.6303218004803532,0.6541438872655292,0.631111002981039
87.0,216.0,0.7422082291763163,0.7540723593964335,0.7446121088061289
88.0,410.0,0.6163328504579328,0.6455621653777514,0.620885679504702
89.0,676.0,0.6082469234782528,0.6435130072476454,0.6105912077840056
90.0,676.0,0.6008264540933926,0.6448960120443962,0.6039053322694963
91.0,158.0,0.6183517163681598,0.6339929498477809,0.623165967434184
92.0,890.0,0.6437515889001807,0.6761583133442748,0.6467611267372021
93.0,726.0,0.6300273926706575,0.6716526648908316,0.6324650245146515
94.0,830.0,0.6057517624372222,0.6519857744229932,0.6078880735208896
95.0,208.0,0.6667232462354087,0.7109375,0.6707504912663858
96.0,2488.0,0.6425166319027216,0.6738471673679965,0.6434090370107881
97.0,200.0,0.6156422888149025,0.6827,0.6246959749638479
98.0,216.0,0.642516973303852,0.668767146776406,0.6504687823001583
99.0,942.0,0.6343663061005558,0.6682590233545648,0.6364767878121311
100.0,886.0,0.6432547335171461,0.6715575620767494,0.6454519735110789
101.0,820.0,0.6095710203667699,0.6361154074955383,0.6121579786901035
102.0,116.0,0.6200736685055851,0.660077288941736,0.6280793542652344
103.0,386.0,0.6392204115715789,0.6603197401272517,0.6414632947867236
104.0,1080.0,0.6108758130069569,0.6499845679012345,0.612820903283715
105.0,724.0,0.6373476247671059,0.6701451420896798,0.6403411131914833
106.0,666.0,0.6274752580942731,0.6706165625084544,0.6315523823844897
107.0,684.0,0.6260263675691953,0.6639051332033788,0.6288748593517746
108.0,442.0,0.6016343669552583,0.6532523904096967,0.6059892600202865
109.0,542.0,0.6804806722742123,0.7134638689560328,0.6838505759805421
110.0,672.0,0.6218584448229634,0.6516262755102041,0.6237728384146114
111.0,298.0,0.6422427980876693,0.6644970947254629,0.648246397060815
112.0,1424.0,0.6225868018083325,0.647503964934983,0.623638602627708
113.0,214.0,0.6138076190037076,0.6476766529827933,0.6217113182907335
114.0,2090.0,0.6054476666848075,0.6462974748746595,0.6061961286933375
115.0,342.0,0.6046803488959851,0.6282702369959987,0.6082160425774399
