side_effect,n_instance,auprc,auroc,ap
0.0,1130.0,0.8710126142845253,0.9023353434098207,0.8714179025990366
1.0,2144.0,0.8194382593414098,0.8630352058504122,0.8197099282403889
2.0,1028.0,0.8114263344683406,0.8679891065723931,0.8123574646412014
3.0,1360.0,0.8006232039807188,0.8478616998269897,0.8011089988975109
4.0,716.0,0.8267484441168848,0.8800365157142411,0.8289993498119193
5.0,746.0,0.8208143117073413,0.8732219738516054,0.8221781406024495
6.0,246.0,0.817355315792698,0.8631436314363143,0.8199369110089765
7.0,372.0,0.8590603554951136,0.8908833391143485,0.8599996439728084
8.0,914.0,0.8123058650271203,0.8613471934268299,0.812942133656494
9.0,868.0,0.8446595054631209,0.8820451697848753,0.8453399832882733
10.0,626.0,0.8261044593615604,0.8850912023191009,0.8275813158423578
11.0,1130.0,0.8141178837241857,0.8637191635993422,0.814865506398438
12.0,1190.0,0.7870910738006285,0.8381554974931148,0.7875772782534016
13.0,1226.0,0.8280754250423601,0.8738812940929135,0.8287306511573074
14.0,810.0,0.8705083799429094,0.8992684042066759,0.870924047234235
15.0,1186.0,0.799803434637314,0.8468778526314591,0.800535472402417
16.0,108.0,0.9260960872523887,0.9293552812071331,0.9270206339979445
17.0,1662.0,0.7919775348599541,0.8543137391193537,0.7930224324360504
18.0,398.0,0.8784435572814969,0.9038155602131259,0.8790788211971634
19.0,1280.0,0.8403799343629028,0.8759082031250001,0.8407131285839208
20.0,1180.0,0.8357683929223862,0.8782203389830509,0.8363226621844535
21.0,1170.0,0.8202211784432809,0.8671911753963036,0.8207304012586034
22.0,838.0,0.8169907894194213,0.8699568810840675,0.8188846774745292
23.0,1054.0,0.8332101355959697,0.881004504390971,0.834102899030162
24.0,2444.0,0.7811322663994575,0.836069361219969,0.781591363151634
25.0,510.0,0.8174718062599658,0.8596462898885043,0.8185244603889802
26.0,852.0,0.8603367832595997,0.8833316802221781,0.8606179322990724
27.0,1356.0,0.8169036190181519,0.872368300832746,0.8174870346750603
28.0,532.0,0.8772678634653148,0.9220702131268019,0.8785206268328817
29.0,620.0,0.8361264625617414,0.8772840790842873,0.8371286351655832
30.0,1002.0,0.872368037943996,0.9020481990111594,0.872713444888115
31.0,152.0,0.9179967835421434,0.9387119113573408,0.9191465574834622
32.0,508.0,0.8994762980324063,0.9252511005022009,0.8999439088143499
33.0,506.0,0.8466707545851485,0.8844068802824603,0.8509635569741647
34.0,210.0,0.9294417751919446,0.9463945578231292,0.9301178756886879
35.0,172.0,0.8620792238696944,0.8998107084910762,0.8658032771367797
36.0,1016.0,0.8385582933706202,0.8826453902907805,0.8391690679510663
37.0,1406.0,0.8197302847940077,0.8702411328000906,0.8201227024938087
38.0,836.0,0.8816570555989152,0.9055395938737666,0.8819783432875187
39.0,156.0,0.8766399658967237,0.8959566074950691,0.8787513263695708
40.0,336.0,0.8488990031836753,0.9019805839002267,0.8532901727729009
41.0,798.0,0.8540843633786971,0.8850760987682238,0.8549777792013561
42.0,680.0,0.8320550130599589,0.8711202422145328,0.8329237540917739
43.0,882.0,0.8688909693572743,0.9004144363716764,0.8694739575140411
44.0,2834.0,0.7931859904321722,0.8499323169756894,0.7936049967827651
45.0,786.0,0.8355929362553277,0.880905671127686,0.8365831612203134
46.0,1156.0,0.8141168370227999,0.8762796182995894,0.8163921419037282
47.0,700.0,0.8349980416949678,0.8798408163265306,0.835747263847406
48.0,954.0,0.8444042825604577,0.8861057271820295,0.8448974580743781
49.0,194.0,0.8749337892247229,0.9041874800722713,0.8761204100299643
50.0,1420.0,0.8147201233087956,0.8496627653243404,0.8150368987060466
51.0,2220.0,0.8138790718803758,0.8659999188377566,0.8144919363241196
52.0,1858.0,0.7971069920702756,0.8412671008677457,0.7975293820151573
53.0,690.0,0.8422287781766009,0.8699222852341946,0.8428384593784535
54.0,1130.0,0.7885673262611962,0.84290390790195,0.7892198892689514
55.0,288.0,0.9107147058684679,0.9331356095679012,0.9115483483272082
56.0,1024.0,0.8197684232089075,0.8710269927978516,0.8204796526609013
57.0,558.0,0.8073609964837063,0.8528988579283411,0.8084282402069237
58.0,1428.0,0.7910363624089833,0.8437021867570559,0.7922633731570423
59.0,660.0,0.8692587023328003,0.8963223140495867,0.869720229984653
60.0,2040.0,0.8085883638073088,0.8573817762399077,0.8089711083954388
61.0,754.0,0.8697900421908769,0.9004249660519669,0.870636374501476
62.0,1922.0,0.7961180777679104,0.8499728214085008,0.7965834941089417
63.0,734.0,0.8448017874882334,0.8909524905523094,0.8455635236533162
64.0,812.0,0.8657165007013634,0.9022816617729137,0.8662816824938879
65.0,1120.0,0.7382885748029395,0.8159422831632653,0.7393886853482815
66.0,2386.0,0.7975707347762656,0.8479074989689085,0.797871693144826
67.0,1194.0,0.8035914605901191,0.8549559635138282,0.8050385109825421
68.0,996.0,0.82034214953265,0.8689547346010548,0.8213754379235095
69.0,736.0,0.8423791608755768,0.8832444766068054,0.8430681555694112
70.0,1836.0,0.8180191591663853,0.8601481623876857,0.8182673912814188
71.0,1586.0,0.8006691088082954,0.8547544800103046,0.8012029125940497
72.0,1364.0,0.8163835265224555,0.8733800018919685,0.8170820802897014
73.0,1224.0,0.8526337315088712,0.8952753214575591,0.853796023296601
74.0,1642.0,0.7947302006850733,0.8488571170003012,0.7951364382954025
75.0,1994.0,0.8275423363834662,0.863338511019518,0.8277487805653672
76.0,476.0,0.8997136806083587,0.9285272932702493,0.9003947058239767
77.0,1322.0,0.8284020219369801,0.867260900712028,0.8288188580296098
78.0,796.0,0.8665531886974692,0.8988788161915102,0.8670394933950272
79.0,576.0,0.8977648454286433,0.9095835744598765,0.8981349871440154
80.0,1582.0,0.8308976271781523,0.8667188231702736,0.8311606560660311
81.0,214.0,0.9026237386363969,0.9217398899467202,0.9040473177404907
82.0,384.0,0.8869140012497463,0.9246012369791666,0.8881156061508869
83.0,426.0,0.9102423240492613,0.931891820406004,0.9107801683284493
84.0,194.0,0.9025122905565639,0.9327771282814327,0.90843792235322
85.0,574.0,0.8459882248020588,0.8939042600978523,0.8483891664530361
86.0,1236.0,0.7899039938754755,0.8479422607639217,0.7904786849935379
87.0,216.0,0.880480834099294,0.9030778463648834,0.8815083567711798
88.0,410.0,0.8658267431104114,0.8986436644854253,0.8665452880472628
89.0,676.0,0.7782241611696338,0.8418779104373096,0.7802746141095951
90.0,676.0,0.852287150661643,0.902397500087532,0.8534359771976152
