side_effect,n_instance,auprc,auroc,ap
0.0,1130.0,0.6239855680494607,0.6714824966716266,0.6246279044391106
1.0,2144.0,0.656027786183941,0.6298353875445534,0.5764781478390458
2.0,1028.0,0.6276822670345563,0.6764031249526866,0.6293111226238832
3.0,1360.0,0.5811387838326183,0.6404617214532872,0.58375801559171
4.0,716.0,0.7046024439596735,0.7633559345838145,0.7069780031260386
5.0,746.0,0.6819436840078145,0.728891891697633,0.6830876760758479
6.0,246.0,0.6109295014788478,0.6834390904884659,0.619383545342469
7.0,372.0,0.6497837690051815,0.6996545843450109,0.6524407952548643
8.0,914.0,0.6737580465672932,0.7098453906889668,0.6542931794959772
9.0,868.0,0.6413706114908022,0.7266572341735863,0.6431130560646883
10.0,626.0,0.5560925799891722,0.6188258530759729,0.5592762579307833
11.0,1130.0,0.6601984589991186,0.7207792309499569,0.6611914021410568
12.0,1190.0,0.6549427757905077,0.7047581385495374,0.6557511949950134
13.0,1226.0,0.6576767886314819,0.7192078111818697,0.6595627444597691
14.0,810.0,0.7052725082189976,0.7644886450236243,0.7072581230124089
15.0,1186.0,0.6224662288371146,0.6822947029566415,0.6241686598843558
16.0,108.0,0.7000730942707363,0.7370541838134431,0.7052720915272973
17.0,1662.0,0.5989237391978064,0.6659958352701644,0.6003738943899424
18.0,398.0,0.6538505760612066,0.7371152243630211,0.6590029927350723
19.0,1280.0,0.678697629031927,0.7361859130859375,0.6790821299354168
20.0,1180.0,0.5960842385981784,0.6478145647802356,0.5973055719802929
21.0,1170.0,0.6401358791251436,0.6936890934326831,0.6411963676341044
22.0,838.0,0.6354417304686585,0.7110719351108731,0.6382029677209082
23.0,1054.0,0.6475285414847624,0.7220356894670704,0.6489356441670708
24.0,2444.0,0.6539992471458776,0.7168569408096517,0.6545110587907271
25.0,510.0,0.6231603959918928,0.6944482891195695,0.6267499818397171
26.0,852.0,0.5858950837525791,0.6284605126848729,0.5835678642786222
27.0,1356.0,0.691653631011102,0.7448807224093072,0.6924421310089345
28.0,532.0,0.6881325393094684,0.7635642207021311,0.6902277017507781
29.0,620.0,0.5609724220520875,0.6148543184183142,0.5645606472170412
30.0,1002.0,0.6096613914247522,0.6903309150162749,0.6099927242784307
31.0,152.0,0.611031122316928,0.7086651662049861,0.6244987870001079
32.0,508.0,0.6307882960663324,0.6978075206150414,0.63453719370498
33.0,506.0,0.5853044770331793,0.6608719086378478,0.5910984277582924
34.0,210.0,0.6434487272152578,0.7135374149659864,0.6480873924186044
35.0,172.0,0.6799849167698879,0.7633856138453218,0.6894687393284662
36.0,1016.0,0.6547534282649545,0.7227257579515161,0.6563571123487832
37.0,1406.0,0.6552254365184363,0.7239184231772388,0.6565639367162399
38.0,836.0,0.6539163403549391,0.7382800874522103,0.6581989289780699
