side_effect,n_instance,auprc,auroc,ap
0.0,1130.0,0.8277811695640646,0.8753559401675934,0.828732667096805
1.0,2144.0,0.7849648641578746,0.8284698098824905,0.7857494833027465
2.0,1028.0,0.7990437595788635,0.8348754333903616,0.7996537286788321
3.0,1360.0,0.7596017173680933,0.8094555579584775,0.7603418188526487
4.0,716.0,0.8095689518097618,0.854163415623732,0.8116472470587617
5.0,746.0,0.7963479603848549,0.8395158450071516,0.7973877505911621
6.0,246.0,0.800031073962419,0.8343248066627007,0.8025288740924624
7.0,372.0,0.8394885642987451,0.8754480286738351,0.8411672609874592
8.0,914.0,0.7890001617444378,0.8375477019281873,0.7899960435514829
9.0,868.0,0.8197251427531032,0.857514493830831,0.8204908284765827
10.0,626.0,0.8203211517900125,0.8601904684134778,0.8214906447118803
11.0,1130.0,0.7917637176810516,0.8391792622758244,0.7925012352346886
12.0,1190.0,0.7358278377674926,0.7867749452722265,0.7374233992209023
13.0,1226.0,0.7951300152307554,0.8441010301541639,0.7960637288619696
14.0,810.0,0.8505584809499742,0.8756866331351929,0.8513430777812516
15.0,1186.0,0.7685097973068643,0.8170981575377719,0.7706737654518443
16.0,108.0,0.856305045218686,0.8751714677640604,0.8586263924943949
17.0,1662.0,0.7736214359449155,0.8293745954376224,0.7747074027272027
18.0,398.0,0.8259997188525544,0.8700285346329638,0.8280744037451153
19.0,1280.0,0.8097839459234106,0.850596923828125,0.8104331303046572
20.0,1180.0,0.8093880830038583,0.8510176673369723,0.8107436582193835
21.0,1170.0,0.7764955521806716,0.831165169113887,0.777927768719526
22.0,838.0,0.8093100096362685,0.855389294888956,0.8105404470710627
23.0,1054.0,0.8154234552400714,0.860907575370235,0.8160743641377247
24.0,2444.0,0.759366902883906,0.806500304027901,0.7597246219855915
25.0,510.0,0.8100095660208672,0.8515801614763552,0.811421200379361
26.0,852.0,0.827678242156497,0.8602514933104102,0.8282537645350009
27.0,1356.0,0.7892117770950058,0.846106782050278,0.7901860607642841
28.0,532.0,0.8699366322174821,0.9023404375600655,0.8708970103169928
29.0,620.0,0.8081236234937749,0.8404474505723206,0.8089325239179243
30.0,1002.0,0.8268779176402686,0.8644108987613595,0.8273139851272697
31.0,152.0,0.8454704128898849,0.890148891966759,0.849240569316556
32.0,508.0,0.868294059241763,0.9016135532271062,0.8689434781074143
