side_effect,n_instance,auprc,auroc,ap
0.0,1130.0,0.8664295121495527,0.9035711488761845,0.8669154238767354
1.0,2144.0,0.8417960142719576,0.876516728391624,0.8421167482254792
2.0,1028.0,0.8035840643162022,0.855276953473936,0.8051941031674713
3.0,1360.0,0.824238947269098,0.8672210207612456,0.8253972191724852
4.0,716.0,0.8651163277190891,0.9034089135794763,0.8659340568141886
5.0,746.0,0.8360270850494167,0.8836852848795003,0.8379297028159897
6.0,246.0,0.85467877203685,0.8893185273316148,0.8595283867499849
7.0,372.0,0.8666881809029352,0.9048011330789686,0.8678411593252305
8.0,914.0,0.8158454160359457,0.8619121949350966,0.8167639710873176
9.0,868.0,0.8431302558399669,0.8796773131729279,0.8435561150329385
10.0,626.0,0.842504501092108,0.8940583245720585,0.8437583834399978
11.0,1130.0,0.8365722823578365,0.8801707259769755,0.8370935093150508
12.0,1190.0,0.8091963819306891,0.856449403290728,0.8096315448166048
13.0,1226.0,0.8128553893441741,0.8644512985371332,0.8132942014709109
14.0,810.0,0.8589125442710367,0.9059228776101205,0.8608220895636463
15.0,1186.0,0.7942168297730707,0.8522575067752219,0.7950812637113519
16.0,108.0,0.9034183267138993,0.9398148148148149,0.9071874389522153
17.0,1662.0,0.7985139555322344,0.8628933577193036,0.7997060954447791
18.0,398.0,0.8501554259240414,0.8939294462261055,0.8513901496747978
19.0,1280.0,0.8148766736169484,0.8715246582031249,0.8167871556096116
20.0,1180.0,0.8385160281706305,0.8762496409077851,0.8390121455534222
21.0,1170.0,0.8064771959631992,0.8619680035064651,0.807231098825047
22.0,838.0,0.827178845404854,0.8815141176001505,0.8280857117232645
23.0,1054.0,0.852496235247335,0.8880581430099125,0.8528906423279218
24.0,2444.0,0.7805121421025862,0.8404474634429887,0.7809301045701565
25.0,510.0,0.872052323894686,0.899115724721261,0.8726161665449508
26.0,852.0,0.8281907517930658,0.8742588551654213,0.8288684181128907
27.0,1356.0,0.8231740543416725,0.8737844910851803,0.8236125862606618
28.0,532.0,0.8948543302952988,0.9282605008762508,0.8954133386428094
29.0,620.0,0.8541202753701074,0.9004526534859523,0.857250397063632
30.0,1002.0,0.8470845766013947,0.8991458201361748,0.8486563026542546
31.0,152.0,0.8953851827970237,0.9363746537396123,0.898002273305451
32.0,508.0,0.8794764943952204,0.9115413230826461,0.8800915005241325
33.0,506.0,0.8804387196641043,0.9015685294255495,0.8811023988864339
34.0,210.0,0.9337460662260526,0.9522902494331066,0.9343936340131825
35.0,172.0,0.8681996310639446,0.90440778799351,0.8702592195205909
36.0,1016.0,0.8705062363063232,0.9046438092876186,0.8710223282326782
37.0,1406.0,0.8104198641318137,0.8622394573955554,0.8115244746727457
38.0,836.0,0.8656338420074231,0.8990693894370549,0.8660607785276566
39.0,156.0,0.8635597946967615,0.8933267587113741,0.8655739556634214
40.0,336.0,0.9043044837787124,0.9279336734693878,0.9050206599162866
41.0,798.0,0.8621303043456778,0.8910748048065024,0.8626430856896934
42.0,680.0,0.8292999566754491,0.8750389273356403,0.8306265354293134
43.0,882.0,0.8662288925272925,0.8981468626755312,0.8666281204540333
44.0,2834.0,0.7986473457926813,0.8524132808138298,0.7992887377536162
45.0,786.0,0.8314215828013227,0.884133273766745,0.8323276141261411
46.0,1156.0,0.8188826781447042,0.8720546329665593,0.8193870646313001
